id,code,name,active
company_activity_210101,210101,FABRICACION DE PAPEL Y CARTON Y ENVASES DE PAPEL Y CARTON,TRUE
company_activity_210201,210201,FABRICACION DE OTROS ARTICULOS DE PAPEL Y CARTON,TRUE
company_activity_221101,221101,EDICION DE LIBROS DE TEXTOS,TRUE
company_activity_221201,221201,"EDICION DE PERIODICOS, REVISTAS Y OTRAS PUBLICACIONES PERIODICAS",TRUE
company_activity_221901,221901,ARTES GRAFICAS,TRUE
company_activity_222102,222102,TIPOGRAFIA  Y/O LITOGRAFIA (IMPRENTA),TRUE
company_activity_222104,222104,IMPRESION DIGITAL,TRUE
company_activity_222105,222105,SERIGRAFIA,TRUE
company_activity_223001,223001,REPRODUCCION DE GRABACIONES,TRUE
company_activity_232001,232001,REFINERIAS DE PETROLEO,TRUE
company_activity_232002,232002,FABRICACION DE PRODUCTOS DIVERSOS DERIVADOS DEL PETROLEO,TRUE
company_activity_232005,232005,ELABORACION DE BIOCOMBUSTIBLES,TRUE
company_activity_241101,241101,FABRICACION DE SUSTANCIAS QUIMICAS Y GASES INDUSTRIALES EXCEPTO ABONOS,TRUE
company_activity_241201,241201,FABRICACION DE ABONOS Y COMPUESTOS DE NITROGENO (ORGANICOS Y QUIMICOS),TRUE
company_activity_241301,241301,FABRICACION DE PLASTICOS Y CAUCHO SINTETICO EN FORMAS PRIMARIAS,TRUE
company_activity_241302,241302,FABRICACION DE RESINAS,TRUE
company_activity_242101,242101,FABRICACION DE PLAGUICIDAS Y OTROS PRODUCTOS QUIMICOS DE USO AGROPECUARIO,TRUE
company_activity_242201,242201,"FABRICACION DE PINTURAS, BARNICES Y PRODUCTOS DE REVESTIMI-TO SIMILARES",TRUE
company_activity_242202,242202,FABRICACION DE TINTAS DE IMPRENTAS,TRUE
company_activity_242301,242301,"FABRICACION PRODUCTOS FARMACEUTICOS, SUSTANCIAS QUIMICAS  Y PRODUCTOS BOTANICOS",TRUE
company_activity_242401,242401,"FABRICACION JABONES, DETERGENTES, PREPARADOS DE TOCADOR, PARA LIMPIAR PULIR ",TRUE
company_activity_242404,242404,FABRICACION DE JABONES DE TOCADOR,TRUE
company_activity_242405,242405,FABRICACION DE JABONES PARA LAVAR (EXCEPTO PREPARACIONES TENSO ACTIVAS USADAS,TRUE
company_activity_242406,242406,"FABRICACION DE CERAS, ABRILLANTADORES, LUSTRADORES Y PREPARACIONES SIMILARES",TRUE
company_activity_242901,242901,FABRICACION DE OTROS PRODUCTOS QUIMICOS.,TRUE
company_activity_242902,242902,FABRICACION DE PEGAMENTOS Y ADHESIVOS,TRUE
company_activity_242903,242903,REPARACION DE ARMAS DE FUEGO,TRUE
company_activity_243001,243001,FABRICACION DE FIBRAS SINTETICAS,TRUE
company_activity_251101,251101,FABRICACION DE LLANTAS Y CUBIERTAS PARA EQUIPO Y MAQUINARIAMOVIL,TRUE
company_activity_251102,251102,REENCAUCHADORA DE LLANTAS,TRUE
company_activity_251901,251901,FABRICACION DE OTROS PRODUCTOS DE CAUCHO,TRUE
company_activity_252001,252001,FABRICACION DE ARTICULOS DE PLASTICO,TRUE
company_activity_261001,261001,FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,TRUE
company_activity_269101,269101,FABRICACION PRODUCTOS DE CERAMICA BARRO LOZA Y/O PORCELANANO REFRACTARIA USO NO ESTRUCTURAL,TRUE
company_activity_269201,269201,FABRICACION DE PRODUCTOS DE CERAMICA REFRACTARIA,TRUE
company_activity_269301,269301,FABRICACION DE PRODUCTOS DE ARCILLA Y CERAMICA NO REFRACTARIAS PARA USO ESTRUCTURAL,TRUE
company_activity_269401,269401,"FABRICACION Y/O VENTA DE CEMENTO, CAL Y YESO",TRUE
